ID,Time,
1TORFR6X0VE0HO8AFE,10:37:00,FALSE
1TORG5UX1G2GJRSAML,12:16:23,23:36:37
1TORG5UX1G2GJRSAML,11:53:00,FALSE
1TORHJGX1G436U4AFC,10:36:47,0:31:00
1TORHJGX1G436U4AFC,11:07:47,FALSE
1TORHQ3X1FV76CTAMX,11:11:00,0:51:00
1TORHQ3X1FV76CTAMX,12:02:00,FALSE
1TORJ3FX1G877IIAM5,12:08:37,0:23:24
1TORJ3FX1G877IIAM5,12:32:01,FALSE
1TORKC1X166EAIFAF6,11:09:25,0:31:35
1TORKC1X166EAIFAF6,11:41:00,FALSE
1TORMT6X1CP3M7RAFZ,10:49:00,0:59:00
1TORMT6X1CP3M7RAFZ,11:48:00,FALSE
1TORNK8X1G2O7T7AAD,12:23:06,0:04:10
1TORNK8X1G2O7T7AAD,12:27:16,FALSE
1TORO7EX1G5M1D8NA1,11:11:27,0:06:33
1TORO7EX1G5M1D8NA1,11:18:00,FALSE
1TOROEOX1GC8540AA3,12:42:22,23:32:34
1TOROEOX1GC8540AA3,12:14:56,FALSE
1TORQAGX1G8A136NAB,11:25:10,0:05:50
1TORQAGX1G8A136NAB,11:31:00,FALSE
1TORQEIX1G2CUS3AFF,12:18:33,23:36:27
1TORQEIX1G2CUS3AFF,11:55:00,FALSE
1TORQFMX15IVMIOAFT,10:36:00,0:13:00
1TORQFMX15IVMIOAFT,10:49:00,FALSE
1TORRAEX1G8HN19VFC,10:43:40,0:13:20
1TORRAEX1G8HN19VFC,10:57:00,FALSE
1TORRQSX1G5M380ASE,10:46:00,0:56:00
1TORRQSX1G5M380ASE,11:42:00,FALSE
1TORS9VX1EQV83GAAP,11:24:00,0:08:00
1TORS9VX1EQV83GAAP,11:32:00,FALSE
1TORTI2X16M52UHVAQ,11:16:00,0:42:00
1TORTI2X16M52UHVAQ,11:58:00,FALSE
1TORTISX1G7R1K4AFK,10:40:00,0:43:00
1TORTISX1G7R1K4AFK,11:23:00,FALSE
1TORUE5X1G7QI4IAM6,12:45:19,23:24:41
1TORUE5X1G7QI4IAM6,12:10:00,FALSE
1TORVC1X108QR35AAO,11:37:00,0:06:00
1TORVC1X108QR35AAO,11:43:00,FALSE
1TORVNLX1BEKM4FNA6,11:23:00,0:34:00
1TORVNLX1BEKM4FNA6,11:57:00,FALSE
1TOS0FOX1GAD04CASP,10:53:08,0:08:37
1TOS0FOX1GAD04CASP,11:01:45,FALSE
1TOS0G1X1EBG3ROAF8,12:14:20,0:01:40
1TOS0G1X1EBG3ROAF8,12:16:00,FALSE
1TOS0M1X1FTNAF5AFN,10:58:00,0:38:00
1TOS0M1X1FTNAF5AFN,11:36:00,FALSE
1TOS2GUX1GBBRVOAMY,11:55:00,0:33:59
1TOS2GUX1GBBRVOAMY,12:28:59,FALSE
1TOS3RPX14RIACCNFZ,12:07:51,23:15:40
1TOS3RPX14RIACCNFZ,11:23:31,FALSE
1TOS47VX15GJAOFAAN,12:42:18,23:32:36
1TOS47VX15GJAOFAAN,12:14:54,FALSE
1TOS5DKX1939FCHANE,11:40:00,0:46:00
1TOS5DKX1939FCHANE,12:26:00,FALSE
1TOS6JAX15T18FMNA9,11:36:09,0:10:51
1TOS6JAX15T18FMNA9,11:47:00,FALSE
